SSN,FirstName,LastName,DOB,ADDRESS,CITY,STATE,ZIP,PHONE,Email,Bank_Account_No,Credit Card Number,Driving_License_No,Passport_No,Insurance_No,Medical_Store_Name,BloodGroup,Allergies,Symptoms,Any_Disease,Country
690-05-5316,Julie,Renfro,05-02-1978,310 S PEARL ST,ALBANY,NY,12202,(518)465-6008,Julie.Renfro@hotmail.com,1.32E+16,4916-4811-5814-8112,68186490,2043942557,JV478977A,RITE AID #3334 ,O+,Egg,low blood pressure,itchy rash,USA
421-37-1397,Danny,Reyes,6-15-1980,17 N PEARL ST # 21,ALBANY,NY,12207,(518)434-6024,Danny.Reyes@hlsolution.com,2.41E+16,4916-4034-9269-8784,93523829,5454395456,WT102690C,RITE AID #537 ,O+,Fish,low blood pressure,swelling of the tongue-mouth or face,USA
458-02-6125,Jacki,Russell,1-15-1977,2025 WESTERN AVE,ALBANY,NY,12203,(518)456-5112,Jacki.Russell@gmail.com,3.69E+15,5299-1561-5689-1939,24503759,2575762540,PO810098C,RITE AID #661 ,O-,None,None,None,USA
612-20-6833,Thomas,Santos,05-02-1974,1730 CENTRAL AVE,ALBANY,NY,12205,(518)713-4192,Thomas.Santos@hotmail.com,3.75E+16,5293-8502-0071-3059,64222705,6061797516,PS706219C,SHOPRITE #214 ,A+,Soy,low blood pressure,itchy rash,USA
300-62-3267,Mireille,Townsend,10-15-1962,709 CENTRAL AVE,ALBANY,NY,12206,(518)292-1250,Mireille.Townsend@hlsolution.com,7.00E+16,5548-0246-6336-5665,67915991,318126471,DO221235A,SHOPRITE #232 ,AB-,whole wheat,swelling of the tongue-mouth or face,swelling of the tongue-mouth or face,USA
660-03-8361,Lillian,Venson,6-15-1977,315 S MANNING BLVD,ALBANY,NY,12208,(518)525-1266,Lillian.Venson@hotmail.com,8.91E+16,4539-5385-7425-5826,84736925,1509548322,AO733856D,SPH OUTPATIENT PHARMACY ,B-,Egg,low blood pressure,swelling of the tongue-mouth or face,USA
213-46-8916,Gail,Watson,03-03-1978,350 NORTHERN BLVD,ALBANY,NY,12204,(631)386-1204,Gail.Watson@microsoft.com,1.25E+16,4916-9766-5240-6148,12552436,3214413803,GL883587C,TOWN TOTAL HEALTH ,O+,Egg,diarrhea,diarrhea,USA
449-48-3136,Johnson,White,5-15-1974,41 HOLLAND AVE,ALBANY,NY,12208,(518)426-2976,Johnson.White@oracle.com,8.74E+15,4556-0072-1294-7416,36784226,288267313,KM087173B,WALGREENS #09971 ,A+,Egg,low blood pressure,swelling of the tongue-mouth or face,USA
559-81-1302,Rebecca,Zwick,04-01-1976,141 WASHINGTON AVE EXT STE 3,ALBANY,NY,12205,(518)869-4697,Rebecca.Zwick@microsoft.com,6.43E+16,4532-4220-6922-9910,18793997,9724230500,TE314217A,WAL-MART #2152 ,B+,Milk Products,low blood pressure,vomiting,USA
322-84-2282,Robert,Aragon,2-15-1974,999 ROUTE 6,MAHOPAC,NY,10541,(845)628-8700,Robert.Aragon@hlsolution.com,7.01E+16,4916-6734-7572-5016,23739738,1955476885,YC680261B,CVS #00297,A+,Milk Products,itchy rash,swelling of the tongue-mouth or face,USA
646-44-9062,Ashley,Borden,03-02-1977,100 E LAKE BLVD,MAHOPAC,NY,10541,(845)621-7088,Ashley.Borden@oracle.com,7.11E+16,5218-0144-2703-9267,90416062,6549756251,GG124789B,CVS #05054,B-,whole wheat,diarrhea,itchy rash,USA
465-73-5023,Thomas,Conley,04-01-1986,987 ROUTE 6,MAHOPAC,NY,10541,(845)628-8260,Thomas.Conley@citybank.com,5.32E+16,5399-0706-4128-0179,49690441,2380801500,WC374410C,KMART PHARMACY #9415,A-,Egg,low blood pressure,vomiting,USA
044-34-6955,Susan,Davis,04-03-1976,559 ROUTE 6,MAHOPAC,NY,10541,(845)208-0424,Susan.Davis@ibm.com,3.69E+15,5144-8691-2776-1109,19036116,173692592,OR290660A,LAKE MAHOPAC PHCY AND SURG,B+,None,None,None,USA
477-36-0283,Christopher,Diaz,10-15-1977,159 ROUTE 6,MAHOPAC,NY,10541,(845)628-5299,Christopher.Diaz@microsoft.com,3.75E+16,5527-1247-5046-7781,47032899,9178512261,UY016841A,RITE AID #1451,O-,Fish,swelling of the tongue-mouth or face,swelling of the tongue-mouth or face,USA
421-90-3441,Rick,Edwards,03-03-1977,3400 STATE ROUTE 11 ,MALONE,NY,12953,(518)483-4110,Rick.Edwards@oracle.com,2.28E+16,4539-0031-3703-0729,80765455,7089511225,TW216157B,KINNEY DRUGS #12,O-,Soy,diarrhea,diarrhea,USA
524-02-7658,Victor,Faulkner,03-02-1977,485 E MAIN ST ,MALONE,NY,12953,(518)483-3371,Victor.Faulkner@hotmail.com,1.72E+15,5180-3807-3679-8222,37109773,9107251375,KI097047C,KINNEY DRUGS #14,O-,Egg,diarrhea,itchy rash,USA
205-52-0028,Lisa,Garrison,07-03-1974,289 W MAIN ST ,MALONE,NY,12953,(518)483-3990,Lisa.Garrison@oracle.com,7.42E+16,5413-4428-0145-0037,99009499,6460062046,LT795414A,RITE AID #10726,A+,whole wheat,low blood pressure,diarrhea,USA
587-03-2683,Marjorie,Green,10-15-1986,305 W MAIN ST ,MALONE,NY,12953,(518)483-9090,Marjorie.Green@citybank.com,9.06E+16,4532-9929-3036-9309,71160924,9612926390,QR009307B,WALGREENS #10591,A-,Milk Products,swelling of the tongue-mouth or face,swelling of the tongue-mouth or face,USA
687-05-8366,Mark,Hall,06-03-1978,3222 STATE RTE 11 ,MALONE,NY,12953,(518)483-8724,Mark.Hall@gmail.com,5.32E+16,5495-8602-4508-6805,55324807,3069120469,OH699593B,WAL-MART #3334,O+,whole wheat,low blood pressure,diarrhea,USA
751-01-2328,James,Heard,01-02-1978,2535 ROUTE 9 ,MALTA,NY,12020,(518)899-0018,James.Heard@ibm.com,3.69E+15,5325-3256-9519-6625,16466308,7751729927,QT665601D,CVS #05389,O+,Egg,vomiting,itchy rash,USA
624-84-9182,Albert,Iorio,02-03-1980,10 BLACKSMITH DR STE 2 ,MALTA,NY,12020,(518)899-8103,Albert.Iorio@ibm.com,3.75E+16,4532-0065-1968-5603,81408357,4360356605,EQ654341D,EMPIRE HOME INFUSION SERVICES,O+,Fish,itchy rash,diarrhea,USA
514-30-2669,Charles,Jackson,5-15-1980,1 KENDALL WAY ,MALTA,NY,12020,(518)899-6063,Charles.Jackson@oracle.com,7.00E+16,3.45E+14,18807800,8453401577,HY444440A,PRICE CHOPPER PHARMACY #184,O+,whole wheat,low blood pressure,swelling of the tongue-mouth or face,USA
451-80-3527,Teresa,Kaminski,7-15-1986,247 HEMPSTEAD AVE ,MALVERNE,NY,11565,(516)593-8663,Teresa.Kaminski@citybank.com,8.91E+16,4716-6984-4983-6161,52725550,8678842317,NV777200B,NORDON DRUG,A-,Fish,low blood pressure,swelling of the tongue-mouth or face,USA
404-12-2155,Tim,Lowe,10-03-1978,275 MAMARONECK AVE ,AMARONECK,NY,10543,(914)381-4550,Tim.Lowe@gmail.com,1.25E+16,4539-8219-0484-7599,21112402,1871920707,HU124137A,CVS #00616,O+,Soy,swelling of the tongue-mouth or face,diarrhea,USA
505-88-5715,Monte,Mceachern,04-01-1977,1100 E BOSTON POST RD,MAMARONECK,NY,10543,(914)698-3414,Monte.Mceachern@microsoft.com,8.74E+15,3.02E+13,18595542,3048677683,WP041214B,CVS #00697,B-,Egg,low blood pressure,vomiting,USA
461-97-5661,Adriane,Morrison,10-02-1974,845 PALMER AVE,MAMARONECK,NY,10543,(914)777-6191,Adriane.Morrison@hotmail.com,6.43E+16,4532-1753-6071-1113,30419241,4151921944,BX061387D,SRN CTR FOR NURSING AND REHAB,A+,Egg,swelling of the tongue-mouth or face,itchy rash,USA
172-32-1177,Jerome,Munsch,07-01-1978,113 S MAIN ST,MANCHESTER,NY,14504,(585)289-3002,Jerome.Munsch@oracle.com,7.01E+16,5270-4267-6450-5517,65064344,4251602403,WM979161B,RED JACKET PHARMACY,O+,Egg,low blood pressure,vomiting,USA
151-32-2559,Agnes,Nelson,02-02-1962,588 PLANDOME RD,MANHASSET,NY,11030,(518)524-5149,Agnes.Nelson@microsoft.com,7.11E+16,5252-5971-4219-4117,20930518,8813954468,WJ003736D,MACLENNAN PHARMACY,AB-,whole wheat,itchy rash,itchy rash,USA
489-36-8352,Lynette,Oyola,03-02-1986,,,,,(518)869-4697,Lynette.Oyola@oracle.com,5.32E+16,4929-3813-3266-4297,18704425,1744130791,VZ684039B,,A-,Egg,diarrhea,itchy rash,USA
514-14-8907,Stacey,Peacock,06-02-1977,,,,,(845)628-8700,Stacey.Peacock@ibm.com,3.69E+15,5370-4638-8881-3022,15736908,5113410630,ZC456866A,,B-,Milk Products,low blood pressure,itchy rash,USA
690-05-5317,Julie,Renfro,01-03-1977,,,,,(845)621-7088,Julie.Renfro@citybank.com,3.75E+16,4916-4811-5814-8113,18605437,7115837630,GA613413D,,O-,whole wheat,vomiting,diarrhea,USA
421-37-1398,Danny,Reyes,04-01-1980,,,,,(845)628-8260,Danny.Reyes@gmail.com,7.00E+16,4916-4034-9269-8785,59809274,9519579451,FX544788D,,O+,Soy,low blood pressure,vomiting,USA
458-02-6126,Jacki,Russell,06-02-1974,,,,,(845)208-0424,Jacki.Russell@citybank.com,8.91E+16,5299-1561-5689-1940,44109430,5688943098,QZ340783C,,A+,Fish,low blood pressure,itchy rash,USA
612-20-6834,Thomas,Santos,10-15-1962,,,,,(845)628-5299,Thomas.Santos@citybank.com,1.25E+16,5293-8502-0071-3060,75470045,9935795423,RV233785B,,AB-,Egg,swelling of the tongue-mouth or face,swelling of the tongue-mouth or face,USA
300-62-3268,Mireille,Townsend,05-03-1980,,,,,(518)483-4110,Mireille.Townsend@microsoft.com,8.74E+15,5548-0246-6336-5666,12937502,4868538129,JM864638D,,O+,Soy,low blood pressure,diarrhea,USA
660-03-8362,Lillian,Venson,01-02-1962,,,,,(518)483-3371,Lillian.Venson@citybank.com,6.43E+16,4539-5385-7425-5827,25994584,1746955216,RD767057A,,AB-,Milk Products,vomiting,itchy rash,USA
213-46-8917,Gail,Watson,10-03-1974,,,,,(518)483-3990,Gail.Watson@hlsolution.com,7.01E+16,4916-9766-5240-6149,50774172,1438975507,BC869298C,,A+,Egg,swelling of the tongue-mouth or face,diarrhea,USA
449-48-3137,Johnson,White,06-01-1974,,,,,(518)483-9090,Johnson.White@microsoft.com,3.84E+16,4556-0072-1294-7417,43274754,1576281339,JR025682A,,A+,Egg,low blood pressure,vomiting,USA
559-81-1303,Rebecca,Zwick,07-03-1980,,,,,(518)483-8724,Rebecca.Zwick@hotmail.com,2.33E+16,4532-4220-6922-9911,29502202,8346057911,WO841109D,,O+,Egg,low blood pressure,diarrhea,USA
322-84-2283,Robert,Aragon,07-02-1974,,,,,(518)899-0018,Robert.Aragon@gmail.com,5.30E+16,4916-6734-7572-5017,79958601,3974521058,EK749891B,,A+,None,None,None,USA
646-44-9063,Ashley,Borden,05-03-1986,,,,,(518)899-8103,Ashley.Borden@gmail.com,9.47E+16,5218-0144-2703-9268,12109432,3954060678,AB425160D,,A-,Egg,low blood pressure,diarrhea,USA
465-73-5024,Thomas,Conley,06-03-1977,,,,,(518)899-6063,Thomas.Conley@microsoft.com,9.38E+16,5399-0706-4128-0180,25064868,9165429046,KX694625D,,B-,whole wheat,low blood pressure,diarrhea,USA
044-34-6956,Susan,Davis,3-15-1977,,,,,(516)593-8663,Susan.Davis@hlsolution.com,7.14E+16,5144-8691-2776-1110,90690949,8008870857,TH764711B,,B-,Egg,diarrhea,swelling of the tongue-mouth or face,USA
477-36-0284,Christopher,Diaz,07-01-1976,,,,,(914)381-4550,Christopher.Diaz@hotmail.com,7.36E+16,5527-1247-5046-7782,30480007,8203719264,UD268227B,,B+,Fish,low blood pressure,vomiting,USA
421-90-3442,Rick,Edwards,7-15-1977,,,,,(914)698-3414,Rick.Edwards@gmail.com,6.57E+16,4539-0031-3703-0730,21921415,6437918001,YV135827A,,O-,None,None,None,USA
524-02-7659,Victor,Faulkner,07-02-1976,,,,,(914)777-6191,Victor.Faulkner@oracle.com,6.07E+16,5180-3807-3679-8223,34866873,7063189128,DH280042D,,B+,whole wheat,low blood pressure,itchy rash,USA
205-52-0029,Lisa,Garrison,05-02-1962,,,,,(585)289-3002,Lisa.Garrison@cnbc.com,4.84E+16,5413-4428-0145-0038,32253455,2431587981,ZU285394A,,AB-,Soy,low blood pressure,itchy rash,USA
587-03-2684,Marjorie,Green,04-01-1980,,,,,(518)524-5149,Marjorie.Green@hotmail.com,6.49E+16,4532-9929-3036-9310,30708351,2423134647,FO432784B,,O+,Soy,low blood pressure,vomiting,USA
687-05-8367,Mark,Hall,01-02-1977,,,,,(518)463-2986,Mark.Hall@gmail.com,3.36E+15,5495-8602-4508-6806,67919399,4491669684,IJ517043C,,O-,None,None,None,USA
751-01-2329,James,Heard,05-01-1978,,,,,(518)463-1362,James.Heard@oracle.com,4.03E+16,5325-3256-9519-6626,29790022,4819014697,ZC069373C,,O+,Soy,low blood pressure,vomiting,USA
624-84-9183,Albert,Iorio,06-03-1977,,,,,(518)482-4996,Albert.Iorio@microsoft.com,8.11E+16,4532-0065-1968-5604,78883871,1570900091,HA624621B,,B-,Soy,low blood pressure,diarrhea,USA
514-30-2670,Charles,Jackson,10-15-1976,,,,,(518)459-0795,Charles.Jackson@citybank.com,4.40E+16,3.45E+14,17696473,6154304844,MM869373B,,B+,None,None,None,USA
451-80-3528,Teresa,Kaminski,06-02-1962,,,,,(518)869-0657,Teresa.Kaminski@oracle.com,7.97E+16,4716-6984-4983-6162,15168474,8107110710,DH060779C,,AB-,Egg,low blood pressure,itchy rash,USA
404-12-2156,Tim,Lowe,06-01-1978,,,,,(518)482-8759,Tim.Lowe@cnbc.com,5.14E+16,4539-8219-0484-7600,90741920,2318176056,EQ966709D,,O+,Egg,low blood pressure,vomiting,USA
505-88-5716,Monte,Mceachern,02-01-1980,,,,,(518)438-2152,Monte.Mceachern@microsoft.com,4.72E+15,3.02E+13,88758083,3133126764,QF496061D,,O+,None,None,None,USA
461-97-5662,Adriane,Morrison,5-15-1962,,,,,(518)427-0130,Adriane.Morrison@hotmail.com,9.63E+16,4532-1753-6071-1114,50481308,3205451264,UD828542B,,AB-,Egg,low blood pressure,swelling of the tongue-mouth or face,USA
172-32-1178,Jerome,Munsch,03-01-1974,,,,,(518)465-2253,Jerome.Munsch@hlsolution.com,3.75E+16,5270-4267-6450-5518,65057322,2642049363,MH121435C,,A+,Milk Products,diarrhea,vomiting,USA
151-32-2560,Agnes,Nelson,07-02-1976,,,,,(518)489-0044,Agnes.Nelson@hlsolution.com,6.25E+16,5252-5971-4219-4118,77217381,5615281450,KM589819B,,B+,Egg,low blood pressure,itchy rash,USA
489-36-8353,Lynette,Oyola,05-03-1976,,,,,(518)512-5802,Lynette.Oyola@hlsolution.com,6.99E+16,4929-3813-3266-4298,30463719,1917728276,VH338705D,,B+,Egg,low blood pressure,diarrhea,USA
514-14-8908,Stacey,Peacock,04-01-1977,,,,,(518)456-9360,Stacey.Peacock@microsoft.com,8.12E+15,5370-4638-8881-3023,37484333,1188335481,MC368628C,,O-,Egg,low blood pressure,vomiting,USA
690-05-5318,Julie,Renfro,10-15-1977,,,,,(518)456-0742,Julie.Renfro@cnbc.com,6.11E+16,4916-4811-5814-8114,38010116,8187057992,UH521082D,,B-,None,None,None,USA
421-37-1399,Danny,Reyes,06-02-1980,,,,,(518)915-7900,Danny.Reyes@oracle.com,8.24E+16,4916-4034-9269-8786,84524699,6376433929,RY986192D,,O+,Nuts,low blood pressure,itchy rash,USA
458-02-6127,Jacki,Russell,10-15-1974,,,,,(518)458-8691,Jacki.Russell@gmail.com,7.88E+16,5299-1561-5689-1941,39269571,2215107096,AC045330C,,A+,Egg,swelling of the tongue-mouth or face,swelling of the tongue-mouth or face,USA
612-20-6835,Thomas,Santos,5-15-1977,,,,,(518)438-3535,Thomas.Santos@microsoft.com,1.15E+16,5293-8502-0071-3061,63647261,2142511956,DE392498A,,O-,whole wheat,low blood pressure,swelling of the tongue-mouth or face,USA
300-62-3269,Mireille,Townsend,06-02-1977,,,,,(518)453-0021,Mireille.Townsend@gmail.com,1.00E+17,5548-0246-6336-5667,79691053,7092850539,EP871051B,,O-,Egg,low blood pressure,itchy rash,USA
660-03-8363,Lillian,Venson,2-15-1977,,,,,(518)465-6008,Lillian.Venson@ibm.com,1.75E+16,4539-5385-7425-5828,71013741,6139818489,SZ877418A,,B-,None,None,None,USA
213-46-8918,Gail,Watson,05-02-1962,,,,,(518)434-6024,Gail.Watson@hlsolution.com,5.35E+16,4916-9766-5240-6150,59114330,9579533830,UG232119A,,AB-,Nuts,low blood pressure,itchy rash,USA
449-48-3138,Johnson,White,10-03-1986,,,,,(518)456-5112,Johnson.White@oracle.com,8.04E+16,4556-0072-1294-7418,94823358,959606047,UM226488D,,A-,Milk Products,swelling of the tongue-mouth or face,diarrhea,USA
559-81-1304,Rebecca,Zwick,06-03-1962,,,,,(518)713-4192,Rebecca.Zwick@hotmail.com,1.20E+16,4532-4220-6922-9912,83208400,3967197390,TJ838736A,,AB-,Egg,low blood pressure,diarrhea,USA
322-84-2284,Robert,Aragon,5-15-1980,,,,,(518)292-1250,Robert.Aragon@oracle.com,2.36E+15,4916-6734-7572-5018,49806444,2412730652,YK526278C,,O+,Fish,low blood pressure,swelling of the tongue-mouth or face,USA
646-44-9064,Ashley,Borden,01-01-1962,,,,,(518)525-1266,Ashley.Borden@cnbc.com,3.83E+16,5218-0144-2703-9269,73610235,6288375196,PG236473B,,AB-,whole wheat,vomiting,vomiting,USA
465-73-5025,Thomas,Conley,10-01-1974,,,,,(518)525-1266,Thomas.Conley@citybank.com,4.29E+16,5399-0706-4128-0181,54119289,4957511079,SP957584C,,A+,Milk Products,swelling of the tongue-mouth or face,vomiting,USA
044-34-6957,Susan,Davis,04-02-1974,,,,,(631)386-1204,Susan.Davis@cnbc.com,5.01E+16,5144-8691-2776-1111,33235348,3156511741,EV975240B,,A+,None,None,None,USA
477-36-0285,Christopher,Diaz,03-01-1977,,,,,(518)426-2976,Christopher.Diaz@ibm.com,9.65E+16,5527-1247-5046-7783,30241290,4658889644,VA568787D,,O-,Egg,diarrhea,vomiting,USA
421-90-3443,Rick,Edwards,07-03-1978,,,,,(518)869-4697,Rick.Edwards@citybank.com,6.61E+16,4539-0031-3703-0731,65814315,7044600090,BD034280C,,O+,Fish,low blood pressure,diarrhea,USA
